[[-0.0016984362,-0.0016984362[,-0.0011533299[,-0.00089070713[,-0.0009735649[,-0.000890153[,-0.0007807243[,-0.00042679912[,-0.00043676453[,-0.00045709766[,-0.00043337612[,-0.0005149299[,-0.00039508656[,-0.0002552072[,-0.00029135848[,-0.0002660048[,-0.0002498668[,-0.00025487313[,-0.00023329757[,-0.0002315036[,-0.0002549164[,-0.0002491396[,-0.00032281867[,-0.00039869497[,-0.0005146852[,-0.00058528606[,-0.00091553235[,-0.0005331392[,-0.0003794603[,-0.0003833925[,-0.00038459897[,-0.00037487297[,-0.00042375748[,-0.00040299314[,-0.00033557828[,-0.00036911335[,-0.00040824[,-0.00044601865[,-0.000430711[,-0.00043527977[,-0.00054766034[,-0.00064986746[,-0.00047523007[,-0.00046930893[,0.00011885397[,0.00017952237[,-8.372905e-05[,-0.00012591043[,-0.00013855133[,-9.21709e-05[,7.3313575e-05],
[-0.00095193024,-0.00095193024,-0.00027490087,-0.00031131867,-0.00058319,-0.0009784993,-0.0004944506,-0.0005512605,-0.0005347792,-0.00090688275,-0.0010109451,-0.00075559545,-0.00040518533,-0.00043529648,-0.0003810164,-0.000599608,-0.000547549,-0.000340785,-0.00031194885,-0.00026406324,-0.0002708047,-0.0002847462,-0.00039288212,-0.0006543822,-0.00086622144,-0.001294986,-0.00087986334,-0.00062145345,-0.0004651196,-0.00043152986,-0.0005227483,-0.00060123164,-0.00077637756,-0.0008679246,-0.00072952564,-0.00072381826,-0.00074033026,-0.0009019482,-0.0010306125,-0.0010805068,-0.0011625269,-0.0013258026,-0.0013384996,-0.00073465996,-0.0004063629,-0.00048905273,-0.0008926762,-0.001022841,-0.0012537385,-0.0010207456,-0.0013211308],
[-0.002839113,-0.002839113,-0.0019083649,-0.0011285265,-0.001356439,-0.0013095158,-0.00083984504,-0.0010249441,-0.0010406038,-0.0011417151,-0.0008824519,-0.00083410897,-0.0007748939,-0.00077494944,-0.0005989868,-0.00059793686,-0.0004179623,-0.0004974408,-0.00044907912,-0.00033341552,-0.00036321406,-0.00038184886,-0.0005981108,-0.0008715393,-0.0010414618,-0.001171793,-0.00094772124,-0.0007040346,-0.0004922021,-0.0004900223,-0.0007164536,-0.0010925519,-0.0017543415,-0.0019655454,-0.0019241615,-0.002118165,-0.0021501724,-0.0023508312,-0.0025295406,-0.0025557326,-0.002510419,-0.0023469583,-0.0025605499,-0.0019408712,-0.0014302687,-0.001999072,-0.0032436678,-0.0038332865,-0.004137984,-0.0041780104,-0.0049996935],
[-0.0007932113,-0.0007932113,-0.0028984607,-0.0029436133,-0.0026831725,-0.0022327336,-0.0014238625,-0.0011614121,-0.0010583428,-0.00078505167,-0.00068970287,-0.0008776484,-0.0010064422,-0.00094759313,-0.0006790186,-0.00081003516,-0.00072655204,-0.00056589703,-0.00035425532,-0.00035207474,-0.0004943452,-0.00030367382,-0.0005083279,-0.0006075171,-0.00057401194,-0.00086437643,-0.00057606504,-0.00064237,-0.00055095047,-0.00064599694,-0.0012153459,-0.0024346292,-0.0051787635,-0.005984749,-0.0058704186,-0.0066997535,-0.006782959,-0.006223073,-0.005640011,-0.00605009,-0.006691996,-0.0067268475,-0.006361994,-0.004319288,-0.0026215157,-0.0065622386,-0.008556952,-0.010884293,-0.012634007,-0.010210004,-0.0038653642],
[-0.0015815698,-0.0015815698,-0.0016939606,-0.004115929,-0.00413592,-0.0012294428,-0.00092280505,-0.0001601452,-0.00034365308,-0.00010814765,-0.00037781568,-0.00065640535,-0.0008074192,-0.00089236716,-0.0010817198,-0.0009532272,-0.0008865001,-0.00052863226,-0.0004022153,-0.00018852197,-0.0004982342,-0.0012592111,-0.0012940743,-0.0012099401,-0.0008351754,-0.00046199837,-0.00039879745,-0.0010430749,-0.0008297492,-0.000882755,-0.0028980302,-0.008118129,-0.016671589,-0.014641642,-0.014059878,-0.014511653,-0.013154974,-0.011239986,-0.01120124,-0.013310553,-0.013576843,-0.012953042,-0.009931209,-0.007888691,-0.005030541,-0.007535869,-0.0067020133,-0.0043338244,-0.0013077623,-0.00059586443,-0.00026098362],
[-0.0028225041,-0.0028225041,-0.003346411,-0.004825986,-0.0094769,-0.010301821,-0.008922043,-0.007668444,-0.0038233348,-0.0026233192,-0.0011527839,0.0009798284,-2.40197e-05,-0.0017969632,-0.0012726386,-0.0006411189,-0.00017863391,-0.00062033464,-0.00033699372,-0.0002686793,-0.00029867468,-0.0007365105,-0.00066416647,-0.0011659843,-0.00056949456,-0.0002532569,0.00017237607,-0.0010698417,-0.001994813,-0.0033268107,-0.010319415,-0.020016897,-0.02657873,-0.0146705005,-0.010676798,-0.009728263,-0.008247329,-0.0077874656,-0.006371661,-0.003768743,-0.0022306829,-0.0018133105,-0.004210477,-0.005147142,-0.0050407248,-0.0040180567,-0.0029626843,-0.0016003539,-0.000400401,8.668093e-05,-1.5147177e-05],
[-0.0043596956,-0.0043596956,-0.004986943,-0.008728267,-0.013169363,-0.012708495,-0.0068619344,-0.0053740307,-0.003018687,-0.0012795889,-0.0002942058,0.001880242,0.0028656588,0.0024639855,0.0030931905,0.004615002,0.0027898443,0.0020201914,0.0032180883,0.003103842,0.0014331806,-0.0005672951,-0.0026448867,-0.003384183,-0.002605925,-0.0005798639,-0.0022040876,-0.0014733074,-0.0028951669,-0.0051965243,-0.010544111,-0.008753869,-0.011972708,-0.0063834223,-0.0068211798,-0.0059191925,-0.0047291536,-0.003910321,-0.0030811338,-0.0017219856,-0.0013478299,-0.0027672707,-0.0056701205,-0.006619053,-0.0079634,-0.0059453147,-0.0030818428,-0.0019818426,-0.001460596,-0.001166551,-0.0012494684],
[-0.0067600184,-0.0067600184,-0.0070676054,-0.008118258,-0.014423035,-0.0003841435,0.0010379261,-0.0008013595,-0.00294674,-0.0010495087,0.0023422742,0.0021728228,0.001630253,0.0017508304,0.0024339084,0.0037314503,0.0034295456,0.001872339,0.0016813194,0.0022399887,0.0015982223,0.0004975892,-0.0011920427,-0.0022981784,-0.0040720217,-0.0035828946,-0.003137335,-0.002753584,-0.0022868277,-8.368633e-05,-0.001993964,-0.0018586996,-0.006143231,-0.00086488924,-0.0042466978,-0.00410855,-0.003167536,-0.0020505511,-0.0016145223,-0.0016493893,-0.0031389054,-0.0036427523,-0.003288199,-0.0031091287,-0.00895353,-0.006366596,-0.0034767664,-0.0022226062,-0.002038764,-0.0020906813,-0.0044619394],
[-0.008224112,-0.008224112,-0.0050675,-0.0049287896,-0.005634657,-0.004244413,-0.0029781726,-0.0017399006,-0.0014121162,-0.0005594005,-4.8986312e-05,0.00028734622,0.0006826414,0.0010566441,0.00096292654,0.0012228478,0.0012318682,0.000645747,0.00038830496,0.0002596074,-3.657329e-05,-0.00060730416,-0.0016132552,-0.002177628,-0.003591847,-0.0034775818,-0.003666891,-0.0028307796,-0.0021006956,-0.002283406,-0.0026178816,-0.0023881614,-0.0020514573,0.004856373,-0.0017595129,-0.002858503,-0.0026813345,-0.001749609,-0.0018467675,-0.0028760713,-0.004501996,-0.004806406,-0.0027187504,-0.0046792002,-0.01275766,-0.008658861,-0.0050921184,-0.002826529,-0.0029188576,-0.0049324385,-0.005570329],
[-0.0037283273,-0.0037283273,-0.0003174762,0.00024489316,0.000816767,-0.00080066256,-0.0035775772,-0.0040308563,-0.0028586423,-0.0006775832,-0.0006651932,-0.0011578427,0.0020838259,0.00082494423,0.0006430978,0.00013377739,0.00055995263,0.0002743297,2.6891933e-06,-0.00029914494,-0.00034468994,-0.00054547854,-0.00064524583,-0.0005569547,0.00034852154,-0.002151821,-0.002474657,-0.0016118734,-0.0011636476,-0.0010084978,-0.0009714273,-0.0011637992,-0.0016810152,-0.0014438581,0.0031175409,-0.0018871579,-0.0021651282,-0.0019825343,-0.0027097643,-0.0048033753,-0.0058179703,-0.0050924285,-0.0057835444,-0.005996742,-0.02094542,-0.007941355,-0.0053454833,-0.003411311,-0.0066143675,-0.004310698,-0.0032245496],
[-0.0037264398,-0.0037264398,-0.0009067769,-0.0018222487,-0.0020178426,-0.0020957754,-0.0013973083,-0.00089345913,-0.0031784854,-0.0027375845,-0.0018384836,-0.0008267175,0.0023302212,0.0009001176,0.0010559837,0.00018965796,0.0043449574,0.0026776288,0.0005472645,0.0002053931,0.00012267228,-1.766947e-05,4.708524e-06,0.0005174142,0.0023978418,-0.00061723456,-0.0016029214,-0.00088939973,-0.00043519834,-0.00014150959,0.00018496645,-1.3349544e-06,-0.0004769398,-0.00037893077,0.0009008853,-0.0017751612,-0.0017919728,-0.0028276742,-0.00551889,-0.0071480414,-0.0039416975,-0.00048267204,-0.0024389327,-0.005846335,-0.0076009426,-0.007310561,-0.0065454203,-0.008223876,-0.018530643,-0.009277732,-0.0077921445],
